sample,heart_rate,sample,heart_rate,sample,heart_rate,sample,heart_rate,sample,heart_rate,sample,heart_rate,sample,heart_rate
21.0,142.85714285714286,26.0,125.0,20.0,187.5,22.0,157.89473684210526,33.0,166.66666666666666,25.0,142.85714285714286,25.0,150.0
42.0,150.0,,,,,41.0,166.66666666666666,51.0,166.66666666666666,46.0,142.85714285714286,,
62.0,142.85714285714286,53.0,142.85714285714286,39.0,111.11111111111111,59.0,157.89473684210526,69.0,176.47058823529412,67.0,142.85714285714286,,
83.0,150.0,74.0,120.0,,,78.0,157.89473684210526,86.0,166.66666666666666,88.0,142.85714285714286,,
103.0,142.85714285714286,99.0,120.0,69.0,111.11111111111111,97.0,157.89473684210526,104.0,166.66666666666666,109.0,142.85714285714286,,
124.0,150.0,124.0,120.0,,,116.0,157.89473684210526,122.0,176.47058823529412,130.0,136.36363636363637,,
144.0,150.0,149.0,120.0,99.0,115.38461538461539,135.0,166.66666666666666,139.0,166.66666666666666,152.0,142.85714285714286,,
164.0,150.0,174.0,120.0,125.0,125.0,153.0,157.89473684210526,157.0,166.66666666666666,173.0,142.85714285714286,123.0,150.0
184.0,142.85714285714286,199.0,125.0,,,172.0,157.89473684210526,175.0,176.47058823529412,194.0,136.36363636363637,,
205.0,150.0,223.0,115.38461538461539,,,191.0,187.5,192.0,166.66666666666666,216.0,142.85714285714286,,
225.0,142.85714285714286,249.0,120.0,,,,,210.0,166.66666666666666,237.0,142.85714285714286,182.0,150.0
246.0,150.0,,,238.0,111.11111111111111,210.0,157.89473684210526,228.0,166.66666666666666,258.0,136.36363636363637,202.0,150.0
266.0,142.85714285714286,277.0,136.36363636363637,,,229.0,157.89473684210526,246.0,166.66666666666666,280.0,136.36363636363637,222.0,150.0
287.0,150.0,,,268.0,125.0,248.0,157.89473684210526,264.0,176.47058823529412,302.0,136.36363636363637,242.0,150.0
307.0,142.85714285714286,302.0,136.36363636363637,,,267.0,157.89473684210526,281.0,166.66666666666666,324.0,136.36363636363637,262.0,150.0
328.0,150.0,324.0,115.38461538461539,295.0,130.43478260869566,286.0,157.89473684210526,299.0,166.66666666666666,346.0,142.85714285714286,,
348.0,142.85714285714286,350.0,120.0,,,305.0,166.66666666666666,317.0,166.66666666666666,367.0,136.36363636363637,292.0,103.44827586206897
