sample,resp_rate,sample,resp_rate,sample,resp_rate,sample,resp_rate,sample,resp_rate,sample,resp_rate,sample,resp_rate
80.0,48.38709677419354,36.0,66.66666666666667,111.0,40.54054054054054,58.0,73.17073170731707,61.0,36.58536585365854,174.0,14.851485148514852,31.0,62.49999999999999
142.0,49.180327868852466,86.0,56.603773584905646,223.0,20.0,108.0,52.63157894736842,132.0,50.84745762711864,306.0,49.180327868852466,76.0,73.17073170731709
196.0,61.224489795918366,139.0,55.55555555555555,325.0,55.55555555555555,164.0,52.63157894736844,188.0,56.60377358490566,359.0,65.21739130434777,116.0,73.17073170731705
251.0,49.99999999999999,188.0,69.76744186046517,397.0,33.333333333333336,217.0,62.49999999999997,236.0,68.18181818181819,410.0,52.631578947368475,160.0,65.21739130434783
312.0,48.38709677419354,236.0,54.54545454545452,476.0,43.47826086956519,272.0,47.61904761904763,284.0,56.60377358490568,474.0,42.25352112676057,206.0,63.82978723404253
370.0,55.55555555555555,291.0,55.55555555555555,563.0,28.846153846153847,352.0,31.578947368421048,338.0,55.55555555555555,548.0,39.47368421052628,278.0,31.578947368421062
424.0,55.5555555555556,356.0,39.47368421052633,658.0,34.883720930232585,430.0,47.61904761904763,396.0,49.180327868852466,618.0,46.87500000000002,364.0,38.96103896103894
480.0,52.631578947368396,434.0,37.499999999999986,742.0,36.14457831325301,494.0,46.87500000000002,450.0,61.22448979591834,674.0,62.49999999999994,438.0,42.25352112676057
534.0,56.60377358490563,512.0,38.96103896103898,810.0,57.69230769230774,548.0,66.66666666666664,508.0,46.15384615384613,728.0,49.18032786885251,496.0,65.21739130434783
608.0,32.25806451612904,577.0,57.692307692307644,860.0,61.22448979591834,592.0,71.42857142857144,562.0,68.18181818181826,794.0,43.47826086956525,542.0,63.829787234042584
690.0,41.09589041095893,624.0,73.17073170731705,914.0,52.631578947368396,642.0,52.631578947368396,617.0,45.454545454545446,849.0,71.42857142857113,589.0,65.21739130434783
750.0,63.82978723404246,665.0,71.42857142857144,,,700.0,50.84745762711866,686.0,41.09589041095888,907.0,40.540540540540626,634.0,69.76744186046517
800.0,57.69230769230774,708.0,66.66666666666677,,,762.0,45.454545454545446,753.0,50.00000000000003,,,686.0,48.38709677419354
854.0,54.545454545454476,754.0,66.66666666666664,,,821.0,57.692307692307644,822.0,38.96103896103898,,,766.0,30.61224489795917
912.0,49.18032786885251,810.0,44.77611940298508,,,872.0,58.82352941176473,890.0,50.00000000000003,,,836.0,69.76744186046517
,,863.0,74.99999999999993,,,921.0,65.21739130434796,952.0,47.61904761904756,,,,
,,904.0,73.17073170731705,,,968.0,63.82978723404246,,,,,,
,,952.0,54.54545454545465,,,,,,,,,,
