sample,resp_rate,sample,resp_rate,sample,resp_rate
74.0,39.99999999999999,101.0,32.608695652173914,51.0,45.45454545454546
136.0,60.0,192.0,33.70786516853933,112.0,53.571428571428555
228.0,22.388059701492537,260.0,61.22448979591834,198.0,25.641025641025646
334.0,37.974683544303794,312.0,56.60377358490568,290.0,44.77611940298505
396.0,66.66666666666664,360.0,66.66666666666664,364.0,37.03703703703705
442.0,63.829787234042584,411.0,53.57142857142861,436.0,47.61904761904763
501.0,42.85714285714285,471.0,46.87499999999996,502.0,44.77611940298508
557.0,71.42857142857144,554.0,29.411764705882366,560.0,58.823529411764625
614.0,41.66666666666668,640.0,42.85714285714285,608.0,66.66666666666677
677.0,55.55555555555555,706.0,48.38709677419354,684.0,28.037383177570085
742.0,39.47368421052633,758.0,69.76744186046517,786.0,30.9278350515464
800.0,73.17073170731689,804.0,61.22448979591823,874.0,37.97468354430375
860.0,38.461538461538495,863.0,44.11764705882355,,
928.0,52.631578947368396,920.0,63.829787234042705,,
,,968.0,62.49999999999994,,
